Species,Lifestyle,Accession number,Host species,Label
Cellulophaga phage phi39:1,Virulent,NC_021804,Cellulophaga baltica,1
Cellulophaga virus Cba41,Virulent,NC_021788,Cellulophaga baltica,1
Cellulophaga phage phi46:3,Virulent,NC_021792,Cellulophaga baltica,1
Cellulophaga phage phi48:2,Virulent,NC_021793,Cellulophaga baltica,1
Lactococcus phage phi7,Virulent,NC_021855,Lactococcus cremoris,1
Yersinia virus Phi80-18,Virulent,NC_019911,NA,1
Clostridium phage phi8074-B1,Virulent,NC_019924,Clostridium sporogenes,1
Enterobacteria phage phi92,Virulent,NC_023693,Escherichia coli,1
Bacillus virus Agate,Virulent,NC_020081,Bacillus pumilus,1
Lactobacillus phage phiAQ113,Virulent,NC_019782,Lactobacillus helveticus,1
Aeromonas virus AS4,Virulent,NC_014635,Aeromonas salmonicida,1
Aeromonas phage phiAS5,Virulent,NC_014636,Aeromonas salmonicida,1
Aeromonas virus AS7,Virulent,NC_019528,Aeromonas salmonicida,1
Sulfitobacter phage phiCB2047-B,Virulent,NC_020862,Sulfitobacter sp. CB2047,1
Caulobacter virus phiCbK,Virulent,NC_019405,Caulobacter vibrioides,1
Clostridium phage phiCP7R,Virulent,NC_017980,Clostridium perfringens,1
Clostridium phage phiCPV4,Virulent,NC_018083,Clostridium perfringens,1
Clostridium phage phiCTP1,Virulent,NC_014457,Clostridium tyrobutyricum,1
Yersinia virus D1,Virulent,NC_027353,Yersinia pestis,1
Burkholderia virus phiE255,Virulent,NC_009237,Burkholderia thailandensis,1
Erwinia phage phiEa100,Virulent,NC_019926,Erwinia amylovora,1
Erwinia virus Ea214,Virulent,NC_015292,Erwinia amylovora,1
Erwinia virus Ea214,Virulent,NC_011811,Erwinia amylovora,1
Erwinia virus EaH2,Virulent,NC_019929,Erwinia amylovora,1
Escherichia virus GJ1,Virulent,NC_010106,Escherichia coli,1
Enterococcus virus EF24C,Virulent,NC_009904,Enterococcus faecalis,1
Listonella phage phiHSIC,Virulent,NC_006953,Vibrio pelagius,1
Pseudomonas virus PAA2,Virulent,NC_022971,Pseudomonas aeruginosa,1
Pseudomonas virus IBBPF7A,Virulent,NC_015264,Pseudomonas fluorescens,1
Escherichia virus phiK,Virulent,NC_001730,Escherichia coli,1
Escherichia virus PhiKT,Virulent,NC_019520,Escherichia sp.,1
Xanthomonas virus PhiL7,Virulent,NC_012742,Xanthomonas campestris,1
Leuconostoc virus LN04,Virulent,NC_020870,Leuconostoc pseudomesenteroides,1
Serratia virus MAM1,Virulent,NC_020083,Serratia sp.,1
Bdellovibrio virus MH2K,Virulent,NC_002643,Bdellovibrio bacteriovorus,1
Bacillus virus NIT1,Virulent,NC_021856,Bacillus subtilis,1
Iodobacter virus PLPE,Virulent,NC_011142,Iodobacter sp. CdM7,1
Yersinia phage phiR1-37,Virulent,NC_016163,Yersinia enterocolitica,1
Yersinia virus R1RT,Virulent,NC_019909,Yersinia enterocolitica,1
Yersinia virus phiR201,Virulent,NC_019919,Yersinia enterocolitica,1
Salmonella virus SH19,Virulent,NC_019530,Salmonella enterica,1
Stenotrophomonas phage phiSHP2,Virulent,NC_015586,Stenotrophomonas maltophilia,1
Cellulophaga phage phiSM,Virulent,NC_020860,Cellulophaga sp. MM#3,1
Clostridium phage phiSM101,Virulent,NC_008265,Clostridium perfringens,1
Stenotrophomonas virus SMA7,Virulent,NC_021569,Stenotrophomonas maltophilia,1
Cellulophaga virus ST,Virulent,NC_020842,Cellulophaga sp. MM#3,1
Pectobacterium virus phiTE,Virulent,NC_020201,Pectobacterium atrosepticum,1
Delftia virus PhiW14,Virulent,NC_013697,Delftia acidovorans,1
Escherichia virus phiX174,Virulent,NC_001422,Escherichia coli,1
Thermus phage phiYS40,Virulent,NC_008584,Thermus thermophilus,1
Weissella phage phiYS61,Virulent,NC_018270,Weissella cibaria,1
Clostridium phage phiZP2,Virulent,NC_018084,Clostridium perfringens,1
Bacillus phage PM1,Virulent,NC_020883,Bacillus subtilis,1
Pseudoalteromonas virus PM2,Virulent,NC_000867,Pseudoalteromonas espejiana,1
Bacillus virus Pony,Virulent,NC_022770,Priestia megaterium,1
Cyanophage PP,Virulent,NC_022751,Leptolyngbya boryana,1
Pectobacterium virus PP1,Virulent,NC_019542,Pectobacterium carotovorum,1
Pseudomonas virus PPpW4,Virulent,NC_023005,Pseudomonas plecoglossicida,1
Brucella virus Pr,Virulent,NC_019447,Brucella melitensis,1
Xylella virus Prado,Virulent,NC_022987,Xylella fastidiosa,1
Shigella virus pSf1,Virulent,NC_021331,Shigella flexneri,1
Pseudomonas virus PT2,Virulent,NC_011107,Pseudomonas aeruginosa,1
Vibrio virus pVp1,Virulent,NC_019529,Vibrio parahaemolyticus,1
Salmonella virus PVPSE1,Virulent,NC_016071,Salmonella enterica,1
Vibrio phage PWH3a-P1,Virulent,NC_020863,Vibrio natriegens,1
Vibrio phage pYD21-A,Virulent,NC_020846,Vibrio sp. YD21,1
Vibrio phage pYD38-A,Virulent,NC_021534,Vibrio sp. YD38,1
Vibrio phage pYD38-B,Virulent,NC_021561,Vibrio sp. YD38,1
Pseudoalteromonas phage pYD6-A,Virulent,NC_020849,Pseudoalteromonas sp. YD6,1
Lactococcus phage Q54,Virulent,NC_008364,Lactococcus lactis,1
Riemerella phage RAP44,Virulent,NC_019490,Riemerella anatipestifer,1
Escherichia virus RB16,Virulent,NC_014467,Escherichia coli,1
Escherichia virus RB43,Virulent,NC_007023,NA,1
Rhodobacter phage RcapMu,Virulent,NC_016165,Rhodobacter capsulatus,1
Providencia phage Redjac,Virulent,NC_018832,Providencia stuartii,1
Bacillus virus Riggi,Virulent,NC_022765,Bacillus pumilus,1
Pseudoalteromonas phage RIO-1,Virulent,NC_021300,Pseudoalteromonas marina,1
Rhodothermus phage RM378,Virulent,NC_004735,Rhodothermus marinus,1
Caulobacter virus Rogue,Virulent,NC_019408,Caulobacter vibrioides,1
Rhizobium phage RR1-A,Virulent,NC_021560,Agrobacterium tumefaciens,1
Rhizobium phage RR1-B,Virulent,NC_021557,Agrobacterium tumefaciens,1
Ralstonia virus RSB3,Virulent,NC_022917,Ralstonia solanacearum,1
Ralstonia phage RSK1,Virulent,NC_022915,Ralstonia solanacearum,1
Ralstonia virus RSL1,Virulent,NC_010811,Ralstonia solanacearum,1
Ralstonia virus RSM1,Virulent,NC_008574,Ralstonia solanacearum,1
Ralstonia virus RSM3,Virulent,NC_011399,NA,1
Ralstonia phage RSS0,Virulent,NC_019548,Ralstonia solanacearum,1
Ralstonia virus RSS1,Virulent,NC_008575,Ralstonia solanacearum,1
Ralstonia phage RSS20,Virulent,NC_021866,Ralstonia solanacearum,1
Ralstonia phage RSS30,Virulent,NC_021862,Ralstonia solanacearum,1
Escherichia virus V5,Virulent,NC_011041,Escherichia coli,1
Synechococcus virus SCAM1,Virulent,NC_020837,Synechococcus sp. WH 7803,1
Synechococcus phage S-CAM8,Virulent,NC_021530,Synechococcus sp. WH 7803,1
Synechococcus phage S-CBS1,Virulent,NC_016164,Synechococcus sp. CB0201,1
Synechococcus phage S-CBS2,Virulent,NC_015463,Synechococcus sp. CB0204,1
Synechococcus phage S-CBS3,Virulent,NC_015465,Synechococcus sp. CB0202,1
Synechococcus phage S-CBS4,Virulent,NC_016766,Synechococcus sp. CB0101,1
Synechococcus phage S-CRM01,Virulent,NC_015569,NA,1
Synechococcus virus SIOM18,Virulent,NC_021536,Synechococcus sp. WH 7803,1
Synechococcus phage S-RIM2 R1_1999,Virulent,NC_020859,Synechococcus sp. WH 7803,1
Synechococcus phage S-RIM8 A.HR1,Virulent,NC_020486,Synechococcus sp. WH 7803,1
Synechococcus virus SRIP1,Virulent,NC_020867,Synechococcus sp.,1
Synechococcus virus SRIP2,Virulent,NC_020838,Synechococcus sp. WH 7803,1
Synechococcus phage S-RSM4,Virulent,NC_013085,Synechococcus sp. WH 7803,1
Synechococcus virus SShM2,Virulent,NC_015281,Synechococcus sp. WH 8102,1
Synechococcus virus SSKS1,Virulent,NC_020851,Synechococcus sp. WH 7803,1
Synechococcus virus SSM1,Virulent,NC_015282,Synechococcus sp. WH 6501,1
Synechococcus phage S-SM2,Virulent,NC_015279,Synechococcus sp. WH 8017,1
Synechococcus phage S-SSM4,Virulent,NC_020875,Synechococcus sp. WH 8018,1
Synechococcus phage S-SSM5,Virulent,NC_015289,Synechococcus sp. WH 8102,1
Synechococcus phage S-SSM7,Virulent,NC_015287,Synechococcus sp. WH 8109,1
Synechococcus virus STIM5,Virulent,NC_019516,Synechococcus sp. WH 8102,1
Tetraselmis viridis virus S1,Virulent,NC_020869,NA,1
Salmonella virus S16,Virulent,NC_020416,Salmonella enterica,1
Staphylococcus virus S24-1,Virulent,NC_016565,Staphylococcus aureus,1
Staphylococcus virus S253,Virulent,NC_022920,Staphylococcus aureus,1
Staphylococcus virus S25-4,Virulent,NC_022918,Staphylococcus aureus,1
Staphylococcus virus SA11,Virulent,NC_019511,Staphylococcus aureus,1
Staphylococcus virus SAP2,Virulent,NC_009875,Staphylococcus aureus,1
Staphylococcus virus Sb1,Virulent,NC_023009,Staphylococcus aureus,1
Liberibacter phage SC1,Virulent,NC_019549,NA,1
Liberibacter phage SC2,Virulent,NC_019550,NA,1
Salmonella virus SE2,Virulent,NC_016763,Salmonella enterica,1
Salmonella virus SETP13,Virulent,NC_022752,Salmonella enterica,1
Salmonella virus SETP3,Virulent,NC_009232,Salmonella enterica,1
Salmonella virus SETP3,Virulent,NC_022754,Salmonella enterica,1
Salmonella virus SFP10,Virulent,NC_016073,Salmonella sp.,1
Shigella virus Shfl1,Virulent,NC_015456,Shigella flexneri,1
Shigella virus Shfl2,Virulent,NC_015457,Shigella flexneri,1
Vibrio phage SIO-2,Virulent,NC_016567,NA,1
Salmonella virus SKML39,Virulent,NC_019910,NA,1
Spiroplasma virus SkV1CR23x,Virulent,NC_009987,Spiroplasma kunkelii,1
Pseudomonas virus SN,Virulent,NC_011756,Pseudomonas aeruginosa,1
Sodalis virus SO1,Virulent,NC_013600,Sodalis glossinidius,1
Bacillus phage SP-10,Virulent,NC_019487,Bacillus subtilis,1
Shigella virus SP18,Virulent,NC_014595,Shigella sonnei,1
Salmonella virus SPC35,Virulent,NC_015269,Escherichia coli,1
Salmonella virus SPN19,Virulent,NC_019417,Salmonella sp.,1
Bacillus virus Spock,Virulent,NC_022763,Bacillus thuringiensis,1
Bacillus phage SPP1,Virulent,NC_004166,Bacillus subtilis,1
Streptococcus virus SPQS1,Virulent,NC_021868,Streptococcus pneumoniae,1
Salmonella virus SS3e,Virulent,NC_006940,Salmonella enterica,1
Escherichia virus SSL2009a,Virulent,NC_012223,Escherichia coli,1
Salmonella phage SSU5,Virulent,NC_018843,Salmonella enterica,1
Escherichia virus St1,Virulent,NC_012868,Escherichia coli,1
Burkholderia virus ST79,Virulent,NC_021343,Burkholderia pseudomallei,1
Haemophilus phage SuMu,Virulent,NC_019455,Glaesserella parasuis,1
Spiroplasma virus SVTS2,Virulent,NC_001270,NA,1
Caulobacter virus Swift,Virulent,NC_019411,Caulobacter vibrioides,1
Prochlorococcus virus Syn1,Virulent,NC_015288,Synechococcus sp.,1
Synechococcus virus Syn19,Virulent,NC_015286,Synechococcus sp. WH 8109,1
Synechococcus virus Syn30,Virulent,NC_021072,Synechococcus sp. WH 7803,1
Prochlorococcus virus Syn33,Virulent,NC_015285,Synechococcus sp. WH 7803,1
Synechococcus phage syn9,Virulent,NC_008296,NA,1
Brucella virus Tb,Virulent,NC_019446,Brucella abortus,1
Pseudomonas virus tf,Virulent,NC_017971,Pseudomonas putida,1
Escherichia virus TL2011,Virulent,NC_019442,Escherichia coli,1
Escherichia virus TLS,Virulent,NC_009540,Escherichia coli,1
Thermus phage TMA,Virulent,NC_015937,Thermus thermophilus,1
Bacillus virus Troll,Virulent,NC_022088,Bacillus thuringiensis,1
Escherichia virus UAB78,Virulent,NC_020414,Salmonella enterica,1
Pseudomonas virus UFVP2,Virulent,NC_018850,Pseudomonas fluorescens,1
Chlamydia virus CPG1,Virulent,NC_001998,Chlamydia psittaci,1
Alteromonas phage vB_AmaP_AD45-P1,Virulent,NC_021532,Alteromonas macleodii,1
Aeromonas virus 56,Virulent,NC_019527,Aeromonas salmonicida,1
Bacillus virus Bc431,Virulent,NC_020873,Bacillus cereus,1
Cronobacter phage vB_CsaM_GAP161,Virulent,NC_019398,Cronobacter sakazakii,1
Cronobacter virus GAP31,Virulent,NC_019400,Cronobacter sakazakii,1
Cronobacter virus GAP32,Virulent,NC_019401,Cronobacter sakazakii,1
Cronobacter virus GAP227,Virulent,NC_020078,Cronobacter sakazakii,1
Erwinia virus Y2,Virulent,NC_019504,Erwinia amylovora,1
Erwinia virus L1,Virulent,NC_019510,Erwinia amylovora,1
Erwinia phage vB_EamP-S6,Virulent,NC_019514,Erwinia amylovora,1
Escherichia virus C40,Virulent,NC_019399,Escherichia coli,1
Escherichia virus FV3,Virulent,NC_019517,Escherichia coli,1
Escherichia virus VR7,Virulent,NC_014792,Escherichia coli,1
Escherichia virus ACGC91,Virulent,NC_019403,Escherichia coli,1
Escherichia virus G7C,Virulent,NC_015933,NA,1
Escherichia virus ACGM12,Virulent,NC_019404,Escherichia coli,1
Escherichia virus Rogue1,Virulent,NC_019718,Escherichia coli,1
Klebsiella virus RaK2,Virulent,NC_019526,Klebsiella sp.,1
Listeria virus AG20,Virulent,NC_020871,Listeria monocytogenes,1
Mycobacterium virus Ff47,Virulent,NC_021063,Mycobacterium avium,1
Pseudomonas virus Kakheti25,Virulent,NC_017864,Pseudomonas aeruginosa,1
Pseudomonas phage vB_Pae-TbilisiM32,Virulent,NC_017865,Pseudomonas aeruginosa,1
Pseudomonas virus CAb1,Virulent,NC_019918,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeP_p2-10_Or1,Virulent,NC_019813,Pseudomonas aeruginosa,1
Staphylococcus virus Remus,Virulent,NC_022090,Staphylococcus aureus,1
Staphylococcus virus Remus,Virulent,NC_020877,Staphylococcus aureus,1
Vibrio phage vB_VchM-138,Virulent,NC_019518,Vibrio cholerae,1
Vibrio virus MAR10,Virulent,NC_019713,Vibrio parahaemolyticus,1
Xanthomonas phage vB_XveM_DIBBI,Virulent,NC_017981,Xanthomonas vesicatoria,1
Vibrio phage VBM1,Virulent,NC_020850,Vibrio parahaemolyticus,1
Vibrio phage VBP32,Virulent,NC_020868,Vibrio parahaemolyticus,1
Vibrio phage VBP47,Virulent,NC_020848,Vibrio parahaemolyticus,1
Vibrio virus VCY,Virulent,NC_016162,Vibrio cholerae,1
Vibrio phage VEJphi,Virulent,NC_012757,Vibrio cholerae,1
Vibrio virus Vf33,Virulent,NC_005948,Vibrio parahaemolyticus,1
Vibrio virus VFJ,Virulent,NC_021562,Vibrio cholerae,1
Vibrio virus VfO3K6,Virulent,NC_002362,Vibrio parahaemolyticus,1
Vibrio phage VfO4K68,Virulent,NC_002363,Vibrio parahaemolyticus,1
Vibrio virus VGJ,Virulent,NC_004736,Vibrio cholerae,1
Salmonella phage Vi II-E1,Virulent,NC_010495,Salmonella enterica,1
Salmonella virus Vi06,Virulent,NC_015271,Salmonella enterica,1
Salmonella virus ViI,Virulent,NC_015296,Salmonella enterica,1
Vibrio virus VP93,Virulent,NC_012662,Vibrio parahaemolyticus,1
Vibrio phage VPMS1,Virulent,NC_021776,Vibrio parahaemolyticus,1
Vibrio virus fs1,Virulent,NC_003327,Vibrio cholerae,1
Vibrio phage VvAW1,Virulent,NC_020488,Vibrio vulnificus,1
Bacillus virus WPh,Virulent,NC_016563,Bacillus cereus,1
Enterobacteria phage WA13 sensu lato,Virulent,NC_007821,Escherichia coli,1
Bacillus virus Wbeta,Virulent,NC_007734,Bacillus anthracis,1
Bacillus virus Wip1,Virulent,NC_022094,Bacillus anthracis,1
Escherichia phage wV7,Virulent,NC_019505,Escherichia coli,1
Escherichia virus wV8,Virulent,NC_012749,Escherichia coli,1
Xanthomonas virus Xop411,Virulent,NC_009543,Xanthomonas oryzae,1
Acinetobacter phage ZZ1,Virulent,NC_018087,Acinetobacter baumannii,1
Hydrogenobaculum phage 1,Virulent,NC_028651,NA,1
Ralstonia phage 1 NP-2014,Virulent,NC_023586,NA,1
Shewanella sp. phage 1/4,Virulent,NC_025436,Shewanella sp.,1
Shewanella sp. phage 1/40,Virulent,NC_025470,Shewanella sp.,1
Shewanella sp. phage 1/41,Virulent,NC_025458,Shewanella sp.,1
Shewanella sp. phage 1/44,Virulent,NC_025463,Shewanella sp.,1
Leuconostoc virus 1A4,Virulent,NC_027987,Leuconostoc mesenteroides,1
Escherichia virus 121Q,Virulent,NC_025447,Escherichia coli,1
Lactococcus phage 1358,Virulent,NC_027120,Lactococcus lactis,1
Klebsiella virus 1513,Virulent,NC_028786,Klebsiella pneumoniae,1
Salmonella phage 19,Virulent,NC_029072,NA,1
Nitrincola phage 1M3-16,Virulent,NC_024217,NA,1
Idiomarinaceae phage 1N2-2,Virulent,NC_025439,Idiomarinaceae bacterium N2-2,1
Salmonella phage 21,Virulent,NC_029050,NA,1
Bacillus virus 250,Virulent,NC_029024,Bacillus cereus,1
Shewanella sp. phage 3/49,Virulent,NC_025466,Shewanella sp.,1
Salmonella virus 36,Virulent,NC_029071,Salmonella enterica,1
Salmonella phage 37,Virulent,NC_029045,Salmonella enterica,1
Salmonella virus 38,Virulent,NC_029042,Salmonella enterica,1
Staphylococcus phage 812,Virulent,NC_029080,NA,1
Escherichia virus 9g,Virulent,NC_024146,Escherichia coli,1
Salmonella virus 9NA,Virulent,NC_025443,Salmonella enterica,1
Anabaena phage A-4L,Virulent,NC_024358,Trichormus variabilis,1
Streptococcus phage A25,Virulent,NC_028697,Streptococcus pyogenes,1
Synechococcus virus ACG2014bSyn7803C61,Virulent,NC_027130,NA,1
Synechococcus phage ACG-2014e,Virulent,NC_026928,Synechococcus sp. WH 7803,1
Synechococcus phage ACG-2014h,Virulent,NC_023587,Synechococcus sp. WH 7803,1
Synechococcus phage ACG-2014i,Virulent,NC_027132,Synechococcus sp. WH 7803,1
Escherichia virus APCEc01,Virulent,NC_029091,Escherichia coli,1
Streptococcus phage APCM01,Virulent,NC_029030,Streptococcus mutans,1
Escherichia virus AR1,Virulent,NC_027983,Escherichia coli,1
Escherichia virus Av05,Virulent,NC_025830,Escherichia coli,1
Bacillus virus AvesoBmore,Virulent,NC_028887,Bacillus thuringiensis,1
Bacillus virus Bcp1,Virulent,NC_024137,Bacillus cereus,1
Bacillus virus BCP82,Virulent,NC_027355,Bacillus cereus,1
Bacillus virus Bobb,Virulent,NC_024792,Bacillus pumilus,1
Gokushovirinae Bog1183_53,Virulent,NC_027633,NA,1
Microviridae Bog1249_12,Virulent,NC_027634,NA,1
Microviridae Bog5275_51,Virulent,NC_027635,NA,1
Gokushovirinae Bog5712_52,Virulent,NC_027636,NA,1
Gokushovirinae Bog8989_22,Virulent,NC_027637,NA,1
Microviridae Bog9017_22,Virulent,NC_027638,NA,1
Escherichia virus Bp4,Virulent,NC_024142,Escherichia coli,1
Bacillus virus Bp8pC,Virulent,NC_029121,Bacillus pumilus,1
Bacillus virus BPS10C,Virulent,NC_023501,Bacillus cereus,1
Escherichia virus AHP42,Virulent,NC_024793,Escherichia coli,1
Escherichia virus AHS24,Virulent,NC_024784,Escherichia coli,1
Escherichia virus AKS96,Virulent,NC_024789,Escherichia coli,1
Pseudomonas phage C11,Virulent,NC_028652,Pseudomonas aeruginosa,1
Escherichia virus Cajan,Virulent,NC_028776,Escherichia coli,1
Bacillus virus CAM003,Virulent,NC_024216,Bacillus thuringiensis,1
Salmonella virus Chi,Virulent,NC_025442,NA,1
Vibrio phage CHOED,Virulent,NC_023863,Vibrio anguillarum,1
Escherichia virus CICC80001,Virulent,NC_027387,Escherichia coli,1
Lactobacillus phage CL1,Virulent,NC_028888,Lacticaseibacillus paracasei,1
Lactobacillus phage CL2,Virulent,NC_028835,Lacticaseibacillus paracasei,1
Bacillus virus CP51,Virulent,NC_025423,Bacillus cereus,1
Citrobacter virus CR44b,Virulent,NC_023576,Citrobacter rodentium,1
Citrobacter virus CR8,Virulent,NC_023548,Citrobacter rodentium,1
Cronobacter virus CR8,Virulent,NC_024354,Cronobacter sakazakii,1
Cronobacter virus CR9,Virulent,NC_023717,Cronobacter sakazakii,1
uncultured crAssphage,Virulent,NC_024711,bacterium,1
Vibrio virus CTXphi,Virulent,NC_015209,Vibrio cholerae,1
Citrobacter phage CVT22,Virulent,NC_027988,Citrobacter sp. TM1552,1
Salmonella virus Det7,Virulent,NC_027119,Salmonella enterica,1
Cronobacter virus DevCD23823,Virulent,NC_029070,NA,1
Cronobacter virus Dev2,Virulent,NC_023558,Cronobacter turicensis,1
Dinoroseobacter virus DFL12,Virulent,NC_024367,Dinoroseobacter shibae,1
Paenibacillus virus Diva,Virulent,NC_028788,Paenibacillus larvae,1
Pseudomonas phage DL54,Virulent,NC_028919,Pseudomonas aeruginosa,1
Pseudomonas virus DL60,Virulent,NC_028745,Pseudomonas aeruginosa,1
Pseudomonas virus DL62,Virulent,NC_028836,Pseudomonas aeruginosa,1
Pseudomonas phage DL64,Virulent,NC_028885,Pseudomonas aeruginosa,1
Pseudomonas virus DL68,Virulent,NC_028971,Pseudomonas aeruginosa,1
Escherichia virus DT57C,Virulent,NC_027356,Escherichia coli,1
Enterobacter virus E2,Virulent,NC_029102,Enterobacter cloacae,1
Enterobacter virus E3,Virulent,NC_028795,Enterobacter cloacae,1
Escherichia virus E112,Virulent,NC_024125,Escherichia coli,1
Escherichia virus E41c,Virulent,NC_024210,Escherichia coli,1
Erwinia virus Ea35-70,Virulent,NC_023557,Erwinia amylovora,1
Erwinia virus Ea9-2,Virulent,NC_023579,Erwinia amylovora,1
Escherichia virus phiEB49,Virulent,NC_023743,Escherichia coli,1
Escherichia virus EC6,Virulent,NC_027369,Escherichia coli,1
Escherichia virus ECBP5,Virulent,NC_027330,Escherichia coli,1
Escherichia virus ECML-117,Virulent,NC_025441,Escherichia coli,1
Escherichia virus ECML134,Virulent,NC_025449,Escherichia coli,1
Escherichia virus ECML4,Virulent,NC_025446,Escherichia coli,1
Enterococcus virus ECP3,Virulent,NC_027335,Enterococcus faecalis,1
Enterococcus virus EfaCPT1,Virulent,NC_025465,Enterococcus faecalis,1
Enterococcus virus EFDG1,Virulent,NC_029009,Enterococcus faecalis,1
Enterococcus virus EFLK1,Virulent,NC_029026,Enterococcus faecalis,1
Edwardsiella phage eiAU-183,Virulent,NC_023555,Edwardsiella ictaluri,1
Escherichia virus EK99P1,Virulent,NC_024783,Escherichia coli,1
Vibrio phage eugene 12A10,Virulent,NC_029067,Vibrio sp. 12A10,1
Bacillus virus Evoli,Virulent,NC_024207,Bacillus thuringiensis,1
Bacillus virus Megatron,Virulent,NC_028944,Bacillus thuringiensis,1
Salmonella virus f18SE,Virulent,NC_028698,Salmonella enterica,1
Klebsiella virus F19,Virulent,NC_023567,Klebsiella pneumoniae,1
Flavobacterium virus FCL2,Virulent,NC_027125,Flavobacterium columnare,1
Enterobacteria phage fd,Virulent,NC_025824,NA,1
Microviridae Fen2266_11,Virulent,NC_027639,NA,1
Microviridae Fen418_41,Virulent,NC_027640,NA,1
Microviridae Fen4707_41,Virulent,NC_027641,NA,1
Gokushovirinae Fen672_31,Virulent,NC_027642,NA,1
Microviridae Fen685_11,Virulent,NC_027643,NA,1
Microviridae Fen7786_21,Virulent,NC_027644,NA,1
Gokushovirinae Fen7875_21,Virulent,NC_027645,NA,1
Microviridae Fen7895_21,Virulent,NC_027646,NA,1
Microviridae Fen7918_21,Virulent,NC_027647,NA,1
Microviridae Fen7940_21,Virulent,NC_027648,NA,1
Acinetobacter virus Fri1,Virulent,NC_028848,Acinetobacter baumannii,1
Bacillus virus G,Virulent,NC_023719,Priestia megaterium,1
Gokushovirinae GAIR4,Virulent,NC_028993,NA,1
Geobacillus phage GBK2,Virulent,NC_023612,Geobacillus kaustophilus,1
Lactococcus phage GE1,Virulent,NC_029118,Lactococcus garvieae,1
Escherichia virus GEC3S,Virulent,NC_025425,Escherichia coli,1
Gokushovirinae GNX3R,Virulent,NC_028994,NA,1
Staphylococcus virus GRCS,Virulent,NC_023550,Staphylococcus aureus,1
Pseudoalteromonas phage H101,Virulent,NC_029094,Pseudoalteromonas marina,1
Pseudoalteromonas phage H103,Virulent,NC_028819,Pseudoalteromonas marina,1
Pseudomonas phage H70,Virulent,NC_027384,Pseudomonas aeruginosa,1
Bacillus virus Hakuna,Virulent,NC_024213,Bacillus thuringiensis,1
Paenibacillus virus Harrison,Virulent,NC_028746,Paenibacillus larvae,1
Salmonella virus SP116,Virulent,NC_027329,Salmonella enterica,1
Bacillus virus HoodyT,Virulent,NC_024205,Bacillus thuringiensis,1
Escherichia virus HY01,Virulent,NC_027349,Escherichia coli,1
Escherichia virus HY02,Virulent,NC_028872,Escherichia coli,1
Vibrio phage ICP2_2013_A_Haiti,Virulent,NC_024791,Vibrio cholerae,1
Lactobacillus phage iLp1308,Virulent,NC_028911,Lacticaseibacillus paracasei,1
Acinetobacter virus IMEAB3,Virulent,NC_023590,Acinetobacter baumannii,1
Enterococcus virus EF3,Virulent,NC_023595,Enterococcus faecalis,1
Microviridae IME-16,Virulent,NC_026013,NA,1
Citrobacter phage IME-CF2,Virulent,NC_029013,Citrobacter freundii,1
Delftia virus IMEDE1,Virulent,NC_028702,Delftia sp. 670,1
Enterococcus virus EF4,Virulent,NC_023551,Enterococcus sp.,1
Enterococcus phage IME-EFm1,Virulent,NC_024356,Enterococcus faecium,1
Enterococcus phage IME-EFm5,Virulent,NC_028826,Enterococcus faecium,1
Stenotrophomonas virus IME13,Virulent,NC_029000,Stenotrophomonas maltophilia,1
Escherichia virus J8-65,Virulent,NC_025445,Escherichia coli,1
Bacillus virus JBP901,Virulent,NC_027352,Bacillus cereus,1
Pseudomonas phage JD024,Virulent,NC_024330,Pseudomonas aeruginosa,1
Klebsiella virus JD18,Virulent,NC_028686,NA,1
Escherichia virus JenK1,Virulent,NC_029021,Escherichia coli,1
Escherichia virus JenP1,Virulent,NC_029028,Escherichia coli,1
Escherichia virus JenP2,Virulent,NC_028997,Escherichia coli,1
Brevibacillus virus Jenst,Virulent,NC_028805,Brevibacillus laterosporus,1
Escherichia virus JH2,Virulent,NC_029023,Escherichia coli,1
Bacillus virus JL,Virulent,NC_028982,Bacillus cereus,1
Achromobacter virus JWAlpha,Virulent,NC_023556,Achromobacter xylosoxidans,1
Achromobacter phage JWF,Virulent,NC_029075,Achromobacter xylosoxidans,1
Escherichia virus K1H,Virulent,NC_027994,Escherichia coli,1
Escherichia virus K1G,Virulent,NC_027993,Escherichia coli,1
Klebsiella virus K5,Virulent,NC_028800,Klebsiella pneumoniae,1
Klebsiella virus K64-1,Virulent,NC_027399,Klebsiella pneumoniae,1
Pseudomonas phage K8,Virulent,NC_028817,Pseudomonas aeruginosa,1
Klebsiella virus KLPN1,Virulent,NC_028760,Klebsiella pneumoniae,1
Klebsiella virus KP36,Virulent,NC_029099,Klebsiella pneumoniae,1
Pseudomonas virus KPP21,Virulent,NC_029017,Pseudomonas aeruginosa,1
Pseudomonas virus KPP25,Virulent,NC_024123,Pseudomonas aeruginosa,1
Podovirus Lau218,Virulent,NC_024329,NA,1
Lactobacillus virus Ld17,Virulent,NC_025420,Lactobacillus delbrueckii,1
Lactobacillus virus Ld25A,Virulent,NC_025415,Lactobacillus delbrueckii,1
Lactobacillus virus Ld3,Virulent,NC_025421,Lactobacillus delbrueckii,1
Lactobacillus phage LfeInf,Virulent,NC_029058,Limosilactobacillus fermentum,1
Lactobacillus phage LfeSau,Virulent,NC_029068,Limosilactobacillus fermentum,1
Paenibacillus virus Lily,Virulent,NC_028841,Paenibacillus larvae,1
